1137,1135
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.652023,0.306419
0.31102,0.306419
0.31102,0.204779
0.652023,0.204779
1.0,0.306419
1.0,0.204779
0.652023,0.129105
0.652023,0.129105
1.0,0.306419
0.652023,0.204779
0.458819,0.678585
0.652023,1.0
0.20098,0.017731
0.31102,0.439284
0.139883,0.678585
0.139883,0.439284
0.039027,0.102781
0.458819,0.678585
0.139883,0.059732
1.0,0.439284
0.925255,0.726428
0.458819,0.151297
0.458819,0.059732
0.75407,0.13381
0.139883,0.059732
0.409576,0.102781
,0.129105
,0.102781
0.08567,0.049808
,0.151297
0.134882,0.155387
,0.129105
0.0,0.011845
,0.049808
,0.054948
,0.356041
,0.113961
,
,0.170848
0.046243,0.356041
0.14008,0.292204
0.046243,0.087089
0.06051,0.28427
,0.0
0.20098,0.038036
0.518526,0.247558
0.043194,0.031018
0.262057,
0.092857,
0.26168,0.288082
0.377468,0.02837
,
,
,0.117077
,
,
,
,0.005254
,
,
,
,
,
,
,
,
,
,
,
,
,
,
