Date,S12.C.D.S333
2004-11-10,2427.1
2004-11-17,1863.4
2004-11-24,1987.9
2004-12-01,1823.9
2004-12-08,1903.6
2004-12-15,1854.6
2004-12-22,670.9
2004-12-29,445.1
2004-12-31,81.1
2005-01-07,201.9
2005-01-14,0
2005-01-21,0
2005-01-28,71.8
2005-02-04,400.9
2005-02-11,480.2
2005-02-18,440.8
2005-02-25,392.9
2005-03-04,388.9
2005-03-11,387
2005-03-18,385.9
2005-03-25,475.3
2005-04-01,675.4
2005-04-08,978.5
2005-04-15,1017.7
2005-04-22,948.9
2005-04-29,654.6
2005-05-06,463.8
2005-05-13,717.6
2005-05-20,989.7
2005-05-27,748.7
2005-06-03,678
2005-06-10,932.2
2005-06-17,1018.2
2005-06-24,1002.9
2005-07-01,1254.7
2005-07-08,1667.6
2005-07-15,2302.9
2005-07-22,2589.9
2005-07-29,2686.8
2005-08-05,2787.3
2005-08-12,2528
2005-08-19,2609.5
2005-08-26,2444.9
2005-09-02,2556.9
2005-09-09,2356.1
2005-09-16,2298.2
2005-09-23,2127.6
2005-09-30,2107.8
2005-10-07,2154.2
2005-10-14,2203.5
2005-10-21,2069.1
2005-10-28,2012.7
2005-11-04,2361.5
2005-11-11,2388.6
2005-11-18,2309.6
2005-11-25,2102.3
2005-12-02,2200.5
2005-12-09,2255.9
2005-12-16,2147.1
2005-12-23,1737.9
2005-12-30,1336.8
2005-12-31,184.1
