day,NAdeep,NAeuph,NBdeep,NBeuph,CynB,DinoA,DinoB,mld,wind
1001,4.52277096869026,1.02647225219945,3.03659418786429,0.881501061053189,0.966342791975622,0.0343527705772026,0.0386013683945747,27.072557108356,35.3370397600417
1002,5.07402445098048,1.13154218542844,2.58325087476433,0.726476367138969,0.98780396054395,0.0360968666144093,0.0359670271580584,26.7547206337265,35.5566742609895
1003,5.13885475090909,1.17528249235719,2.17842188936037,0.615672160909835,0.945062887287395,0.0370804060273769,0.0341084119252457,26.6013732230579,35.6455470046312
1004,4.68256905514748,1.15965897875206,1.86783187095823,0.555227114829018,0.836826158081672,0.0371702468428709,0.0330368134420477,26.6088003265639,35.655213621817
1005,3.84954744107811,1.09180347121914,1.67530355899062,0.546815225207408,0.68557020843001,0.0364202250675603,0.032692846693598,26.773274745774,35.6409598932626
1006,2.88735021750282,0.979955958355119,1.60898544120689,0.59337751842878,0.527928665616448,0.0349859691456692,0.0330669307306761,27.0937025546832,35.6359040342536
1007,2.027868720086,0.836244697101506,1.66825897233324,0.698906815922348,0.39759695578127,0.0330986336481828,0.034225730900995,27.5710108428074,35.6337376886828
1008,1.40434697634751,0.682570041329119,1.84604826490033,0.861846753465865,0.312782225522437,0.0310882495965659,0.0362612437806824,28.2043839385188,35.5870601251609
1009,1.04673414089022,0.550950273228592,2.12531302015686,1.06554145571936,0.276273861122675,0.0293562442872149,0.0391690176810849,28.9853959121427,35.4225207777509
1010,0.933131915771163,0.4728695668639,2.47315009297999,1.27238200682373,0.28497238411481,0.0282482885472525,0.0426694532136655,29.8917987137216,35.0678242976321
1011,1.03948512743427,0.465178578609818,2.83837712936535,1.42645552776697,0.338057472489097,0.0279355000563753,0.0460073892665268,30.8830168316092,34.4812767073531
1012,1.34736568856492,0.520252274580008,3.15715201617991,1.47275462453491,0.434764006051757,0.0283704407978596,0.0479515462178613,31.8991743855018,33.6734882580351
1013,1.81738309290243,0.607529269348195,3.3668207730858,1.39994580608804,0.559950924617329,0.0292863874028835,0.0475418027030685,32.8647640446979,32.7134200097077
1014,2.36717183654089,0.698661811600426,3.42326476249804,1.26304435526452,0.677830628491459,0.0303610326164485,0.0452710444113952,33.697004913568,31.7162028404159
1015,2.88365893874988,0.783344336296445,3.31440380278137,1.12220532803211,0.758146289226439,0.0314303206112691,0.0425638236677284,34.3177656956719,30.8161991499632
1016,3.26466578964364,0.854725675892459,3.0637788394685,0.99494976678401,0.789654694975256,0.0323986857542859,0.0401686834724494,34.6669259283897,30.1335313090616
1017,3.45945481463302,0.911417064155794,2.72263030485084,0.884927204650581,0.771584653082473,0.0332060035417136,0.038202134493849,34.7144626038231,29.7442025581256
1018,3.48135931203789,0.957816976395692,2.3541885403436,0.794072417493009,0.715857819576448,0.0338776890681385,0.0366515112838184,34.4685471691601,29.6624694680828
1019,3.3889946284625,0.998103796860677,2.01715523925444,0.722443696451008,0.642167016291971,0.0344623978380717,0.0354685200367464,33.9775556498424,29.8399525951566
